index STRING_id
0 1257118.L8GC44
1 1257118.L8GC66
2 1257118.L8GC83
3 1257118.L8GC88
4 1257118.L8GCA0
5 1257118.L8GCB8
6 1257118.L8GCC4
7 1257118.L8GCD4
8 1257118.L8GCE7
9 1257118.L8GCF9
10 1257118.L8GCG4
11 1257118.L8GCH2
12 1257118.L8GCI0
13 1257118.L8GCI5
14 1257118.L8GCI7
15 1257118.L8GCJ1
16 1257118.L8GCJ2
17 1257118.L8GCK1
18 1257118.L8GCK6
19 1257118.L8GCK9
20 1257118.L8GCL2
21 1257118.L8GCL9
22 1257118.L8GCM4
23 1257118.L8GCN1
24 1257118.L8GCN2
25 1257118.L8GCN9
26 1257118.L8GCP5
27 1257118.L8GCR5
28 1257118.L8GCR8
29 1257118.L8GCT0
30 1257118.L8GCU7
31 1257118.L8GCU9
32 1257118.L8GCV5
33 1257118.L8GCW7
34 1257118.L8GCW9
35 1257118.L8GCX6
36 1257118.L8GCZ1
37 1257118.L8GCZ7
38 1257118.L8GCZ8
39 1257118.L8GD10
40 1257118.L8GD14
41 1257118.L8GD15
42 1257118.L8GD19
43 1257118.L8GD26
44 1257118.L8GD31
45 1257118.L8GD32
46 1257118.L8GD40
47 1257118.L8GD45
48 1257118.L8GD50
49 1257118.L8GD52
50 1257118.L8GD56
51 1257118.L8GD57
52 1257118.L8GD60
53 1257118.L8GD67
54 1257118.L8GD71
55 1257118.L8GD72
56 1257118.L8GD76
57 1257118.L8GD80
58 1257118.L8GD81
59 1257118.L8GD84
60 1257118.L8GD86
61 1257118.L8GD91
62 1257118.L8GD95
63 1257118.L8GDA1
64 1257118.L8GDB4
65 1257118.L8GDB5
66 1257118.L8GDB8
67 1257118.L8GDC2
68 1257118.L8GDC4
69 1257118.L8GDC5
70 1257118.L8GDD0
71 1257118.L8GDD1
72 1257118.L8GDD5
73 1257118.L8GDD6
74 1257118.L8GDD9
75 1257118.L8GDE2
76 1257118.L8GDE6
77 1257118.L8GDF1
78 1257118.L8GDF4
79 1257118.L8GDF5
80 1257118.L8GDG0
81 1257118.L8GDG1
82 1257118.L8GDH0
83 1257118.L8GDH6
84 1257118.L8GDH9
85 1257118.L8GDI1
86 1257118.L8GDI7
87 1257118.L8GDI8
88 1257118.L8GDJ1
89 1257118.L8GDJ5
90 1257118.L8GDJ8
91 1257118.L8GDK1
92 1257118.L8GDK4
93 1257118.L8GDK6
94 1257118.L8GDL5
95 1257118.L8GDL7
96 1257118.L8GDL8
97 1257118.L8GDL9
98 1257118.L8GDM1
99 1257118.L8GDM2
100 1257118.L8GDM5
101 1257118.L8GDN3
102 1257118.L8GDN5
103 1257118.L8GDN6
104 1257118.L8GDP6
105 1257118.L8GDP8
106 1257118.L8GDQ0
107 1257118.L8GDR3
108 1257118.L8GDR4
109 1257118.L8GDR5
110 1257118.L8GDR7
