index STRING_id
0 471856.Jden_0001
1 471856.Jden_0002
2 471856.Jden_0003
3 471856.Jden_0004
4 471856.Jden_0005
5 471856.Jden_0006
6 471856.Jden_0012
7 471856.Jden_0014
8 471856.Jden_0015
9 471856.Jden_0016
10 471856.Jden_0017
11 471856.Jden_0018
12 471856.Jden_0021
13 471856.Jden_0022
14 471856.Jden_0023
15 471856.Jden_0024
16 471856.Jden_0026
17 471856.Jden_0027
18 471856.Jden_0028
19 471856.Jden_0029
20 471856.Jden_0031
21 471856.Jden_0033
22 471856.Jden_0034
23 471856.Jden_0035
24 471856.Jden_0036
25 471856.Jden_0037
26 471856.Jden_0038
27 471856.Jden_0043
28 471856.Jden_0044
29 471856.Jden_0047
30 471856.Jden_0052
31 471856.Jden_0053
32 471856.Jden_0062
33 471856.Jden_0063
34 471856.Jden_0064
35 471856.Jden_0065
36 471856.Jden_0066
37 471856.Jden_0067
38 471856.Jden_0068
39 471856.Jden_0069
40 471856.Jden_0070
41 471856.Jden_0071
42 471856.Jden_0072
43 471856.Jden_0073
44 471856.Jden_0075
45 471856.Jden_0076
46 471856.Jden_0078
47 471856.Jden_0079
48 471856.Jden_0080
49 471856.Jden_0082
50 471856.Jden_0083
51 471856.Jden_0084
52 471856.Jden_0086
53 471856.Jden_0087
54 471856.Jden_0088
55 471856.Jden_0089
56 471856.Jden_0090
57 471856.Jden_0091
58 471856.Jden_0093
59 471856.Jden_0094
60 471856.Jden_0096
61 471856.Jden_0097
62 471856.Jden_0098
63 471856.Jden_0100
64 471856.Jden_0101
65 471856.Jden_0102
66 471856.Jden_0103
67 471856.Jden_0104
68 471856.Jden_0105
69 471856.Jden_0106
70 471856.Jden_0108
71 471856.Jden_0109
72 471856.Jden_0111
73 471856.Jden_0112
74 471856.Jden_0114
75 471856.Jden_0115
76 471856.Jden_0116
77 471856.Jden_0117
78 471856.Jden_0118
79 471856.Jden_0120
80 471856.Jden_0121
81 471856.Jden_0125
82 471856.Jden_0126
83 471856.Jden_0127
84 471856.Jden_0128
85 471856.Jden_0129
86 471856.Jden_0131
87 471856.Jden_0132
88 471856.Jden_0134
89 471856.Jden_0138
90 471856.Jden_0139
91 471856.Jden_0141
92 471856.Jden_0142
93 471856.Jden_0144
94 471856.Jden_0145
95 471856.Jden_0146
96 471856.Jden_0149
97 471856.Jden_0150
98 471856.Jden_0152
99 471856.Jden_0154
100 471856.Jden_0155
101 471856.Jden_0158
102 471856.Jden_0159
103 471856.Jden_0163
104 471856.Jden_0164
105 471856.Jden_0165
106 471856.Jden_0166
107 471856.Jden_0168
108 471856.Jden_0170
109 471856.Jden_0171
110 471856.Jden_0172
111 471856.Jden_0173
112 471856.Jden_0174
113 471856.Jden_0175
114 471856.Jden_0176
115 471856.Jden_0177
116 471856.Jden_0179
117 471856.Jden_0180
118 471856.Jden_0181
119 471856.Jden_0182
120 471856.Jden_0183
121 471856.Jden_0184
122 471856.Jden_0185
123 471856.Jden_0186
124 471856.Jden_0188
125 471856.Jden_0189
126 471856.Jden_0190
127 471856.Jden_0193
128 471856.Jden_0194
129 471856.Jden_0198
130 471856.Jden_0200
131 471856.Jden_0201
132 471856.Jden_0202
133 471856.Jden_0203
134 471856.Jden_0207
135 471856.Jden_0208
136 471856.Jden_0215
137 471856.Jden_0217
138 471856.Jden_0218
139 471856.Jden_0219
140 471856.Jden_0221
141 471856.Jden_0226
142 471856.Jden_0228
143 471856.Jden_0230
144 471856.Jden_0231
145 471856.Jden_0232
146 471856.Jden_0233
147 471856.Jden_0234
148 471856.Jden_0235
149 471856.Jden_0236
150 471856.Jden_0237
151 471856.Jden_0238
152 471856.Jden_0240
153 471856.Jden_0241
154 471856.Jden_0242
155 471856.Jden_0243
156 471856.Jden_0244
157 471856.Jden_0248
158 471856.Jden_0249
159 471856.Jden_0251
160 471856.Jden_0254
161 471856.Jden_0258
162 471856.Jden_0260
163 471856.Jden_0261
164 471856.Jden_0263
165 471856.Jden_0264
166 471856.Jden_0265
167 471856.Jden_0266
168 471856.Jden_0267
169 471856.Jden_0268
170 471856.Jden_0269
171 471856.Jden_0270
172 471856.Jden_0272
173 471856.Jden_0273
174 471856.Jden_0274
175 471856.Jden_0275
176 471856.Jden_0276
177 471856.Jden_0277
178 471856.Jden_0278
179 471856.Jden_0279
180 471856.Jden_0280
181 471856.Jden_0281
182 471856.Jden_0282
183 471856.Jden_0283
184 471856.Jden_0285
185 471856.Jden_0286
186 471856.Jden_0288
187 471856.Jden_0289
188 471856.Jden_0290
189 471856.Jden_0291
190 471856.Jden_0292
191 471856.Jden_0296
192 471856.Jden_0297
193 471856.Jden_0298
194 471856.Jden_0299
195 471856.Jden_0301
196 471856.Jden_0302
197 471856.Jden_0307
198 471856.Jden_0308
199 471856.Jden_0309
200 471856.Jden_0310
201 471856.Jden_0311
202 471856.Jden_0312
203 471856.Jden_0314
204 471856.Jden_0315
205 471856.Jden_0316
206 471856.Jden_0321
207 471856.Jden_0324
208 471856.Jden_0326
209 471856.Jden_0329
210 471856.Jden_0330
211 471856.Jden_0335
212 471856.Jden_0337
213 471856.Jden_0338
214 471856.Jden_0339
215 471856.Jden_0340
216 471856.Jden_0341
217 471856.Jden_0342
218 471856.Jden_0343
219 471856.Jden_0347
220 471856.Jden_0348
221 471856.Jden_0349
222 471856.Jden_0350
223 471856.Jden_0351
224 471856.Jden_0352
225 471856.Jden_0355
226 471856.Jden_0356
227 471856.Jden_0357
228 471856.Jden_0358
229 471856.Jden_0359
230 471856.Jden_0360
231 471856.Jden_0362
232 471856.Jden_0364
233 471856.Jden_0366
234 471856.Jden_0367
235 471856.Jden_0369
236 471856.Jden_0370
237 471856.Jden_0374
238 471856.Jden_0375
239 471856.Jden_0376
240 471856.Jden_0378
241 471856.Jden_0379
242 471856.Jden_0380
243 471856.Jden_0381
244 471856.Jden_0382
245 471856.Jden_0385
246 471856.Jden_0389
247 471856.Jden_0390
248 471856.Jden_0392
249 471856.Jden_0395
250 471856.Jden_0396
251 471856.Jden_0397
252 471856.Jden_0398
253 471856.Jden_0402
254 471856.Jden_0403
255 471856.Jden_0407
256 471856.Jden_0411
257 471856.Jden_0412
258 471856.Jden_0413
259 471856.Jden_0414
260 471856.Jden_0415
261 471856.Jden_0417
262 471856.Jden_0418
263 471856.Jden_0419
264 471856.Jden_0420
265 471856.Jden_0421
266 471856.Jden_0423
267 471856.Jden_0425
268 471856.Jden_0427
269 471856.Jden_0428
270 471856.Jden_0430
271 471856.Jden_0431
272 471856.Jden_0432
273 471856.Jden_0434
274 471856.Jden_0435
275 471856.Jden_0437
276 471856.Jden_0438
277 471856.Jden_0439
278 471856.Jden_0444
279 471856.Jden_0447
280 471856.Jden_0448
281 471856.Jden_0449
282 471856.Jden_0450
283 471856.Jden_0451
284 471856.Jden_0452
285 471856.Jden_0453
286 471856.Jden_0454
287 471856.Jden_0456
288 471856.Jden_0457
289 471856.Jden_0458
290 471856.Jden_0459
291 471856.Jden_0460
292 471856.Jden_0463
293 471856.Jden_0465
294 471856.Jden_0467
295 471856.Jden_0468
296 471856.Jden_0469
297 471856.Jden_0471
298 471856.Jden_0472
299 471856.Jden_0474
300 471856.Jden_0479
301 471856.Jden_0480
302 471856.Jden_0482
303 471856.Jden_0483
304 471856.Jden_0484
305 471856.Jden_0485
306 471856.Jden_0486
307 471856.Jden_0487
308 471856.Jden_0489
309 471856.Jden_0490
310 471856.Jden_0493
311 471856.Jden_0495
312 471856.Jden_0496
313 471856.Jden_0497
314 471856.Jden_0499
315 471856.Jden_0502
316 471856.Jden_0503
317 471856.Jden_0505
318 471856.Jden_0506
319 471856.Jden_0507
320 471856.Jden_0508
321 471856.Jden_0510
322 471856.Jden_0511
323 471856.Jden_0512
324 471856.Jden_0513
325 471856.Jden_0514
326 471856.Jden_0515
327 471856.Jden_0516
328 471856.Jden_0517
329 471856.Jden_0518
330 471856.Jden_0520
331 471856.Jden_0521
332 471856.Jden_0522
333 471856.Jden_0523
334 471856.Jden_0524
335 471856.Jden_0525
336 471856.Jden_0528
337 471856.Jden_0529
338 471856.Jden_0534
339 471856.Jden_0535
340 471856.Jden_0536
341 471856.Jden_0537
342 471856.Jden_0538
343 471856.Jden_0539
344 471856.Jden_0540
345 471856.Jden_0541
346 471856.Jden_0542
347 471856.Jden_0543
348 471856.Jden_0544
349 471856.Jden_0545
350 471856.Jden_0546
351 471856.Jden_0547
352 471856.Jden_0548
353 471856.Jden_0549
354 471856.Jden_0550
355 471856.Jden_0551
356 471856.Jden_0552
357 471856.Jden_0553
358 471856.Jden_0554
359 471856.Jden_0555
360 471856.Jden_0556
361 471856.Jden_0557
362 471856.Jden_0558
363 471856.Jden_0560
364 471856.Jden_0561
365 471856.Jden_0562
366 471856.Jden_0563
367 471856.Jden_0564
368 471856.Jden_0565
369 471856.Jden_0566
370 471856.Jden_0567
371 471856.Jden_0568
372 471856.Jden_0569
373 471856.Jden_0571
374 471856.Jden_0572
375 471856.Jden_0573
376 471856.Jden_0574
377 471856.Jden_0575
378 471856.Jden_0576
379 471856.Jden_0577
380 471856.Jden_0578
381 471856.Jden_0579
382 471856.Jden_0580
383 471856.Jden_0581
384 471856.Jden_0582
385 471856.Jden_0583
386 471856.Jden_0584
387 471856.Jden_0585
388 471856.Jden_0586
389 471856.Jden_0587
390 471856.Jden_0588
391 471856.Jden_0589
392 471856.Jden_0590
393 471856.Jden_0591
394 471856.Jden_0592
