index STRING_id
0 1122615.GCA_000422845_00005
1 1122615.GCA_000422845_00006
2 1122615.GCA_000422845_00009
3 1122615.GCA_000422845_00010
4 1122615.GCA_000422845_00011
5 1122615.GCA_000422845_00012
6 1122615.GCA_000422845_00013
7 1122615.GCA_000422845_00014
8 1122615.GCA_000422845_00015
9 1122615.GCA_000422845_00016
10 1122615.GCA_000422845_00017
11 1122615.GCA_000422845_00019
12 1122615.GCA_000422845_00024
13 1122615.GCA_000422845_00025
14 1122615.GCA_000422845_00030
15 1122615.GCA_000422845_00032
16 1122615.GCA_000422845_00034
17 1122615.GCA_000422845_00035
18 1122615.GCA_000422845_00036
19 1122615.GCA_000422845_00037
20 1122615.GCA_000422845_00039
21 1122615.GCA_000422845_00040
22 1122615.GCA_000422845_00041
23 1122615.GCA_000422845_00042
24 1122615.GCA_000422845_00043
25 1122615.GCA_000422845_00044
26 1122615.GCA_000422845_00045
27 1122615.GCA_000422845_00046
28 1122615.GCA_000422845_00048
29 1122615.GCA_000422845_00049
30 1122615.GCA_000422845_00050
31 1122615.GCA_000422845_00051
32 1122615.GCA_000422845_00052
33 1122615.GCA_000422845_00053
34 1122615.GCA_000422845_00055
35 1122615.GCA_000422845_00060
36 1122615.GCA_000422845_00061
37 1122615.GCA_000422845_00063
38 1122615.GCA_000422845_00064
39 1122615.GCA_000422845_00065
40 1122615.GCA_000422845_00066
41 1122615.GCA_000422845_00067
42 1122615.GCA_000422845_00069
43 1122615.GCA_000422845_00070
44 1122615.GCA_000422845_00071
45 1122615.GCA_000422845_00072
46 1122615.GCA_000422845_00073
47 1122615.GCA_000422845_00074
48 1122615.GCA_000422845_00076
49 1122615.GCA_000422845_00077
50 1122615.GCA_000422845_00078
51 1122615.GCA_000422845_00079
52 1122615.GCA_000422845_00080
53 1122615.GCA_000422845_00081
54 1122615.GCA_000422845_00082
55 1122615.GCA_000422845_00083
56 1122615.GCA_000422845_00084
57 1122615.GCA_000422845_00085
58 1122615.GCA_000422845_00086
59 1122615.GCA_000422845_00087
60 1122615.GCA_000422845_00088
61 1122615.GCA_000422845_00089
62 1122615.GCA_000422845_00091
63 1122615.GCA_000422845_00092
64 1122615.GCA_000422845_00093
65 1122615.GCA_000422845_00094
66 1122615.GCA_000422845_00095
67 1122615.GCA_000422845_00096
68 1122615.GCA_000422845_00098
69 1122615.GCA_000422845_00099
70 1122615.GCA_000422845_00100
71 1122615.GCA_000422845_00101
72 1122615.GCA_000422845_00102
73 1122615.GCA_000422845_00103
74 1122615.GCA_000422845_00105
75 1122615.GCA_000422845_00107
76 1122615.GCA_000422845_00109
77 1122615.GCA_000422845_00111
78 1122615.GCA_000422845_00112
79 1122615.GCA_000422845_00113
80 1122615.GCA_000422845_00114
