index STRING_id
0 1317117.ATO7_00005
1 1317117.ATO7_00015
2 1317117.ATO7_00020
3 1317117.ATO7_00025
4 1317117.ATO7_00030
5 1317117.ATO7_00035
6 1317117.ATO7_00040
7 1317117.ATO7_00045
8 1317117.ATO7_00050
9 1317117.ATO7_00055
10 1317117.ATO7_00060
11 1317117.ATO7_00075
12 1317117.ATO7_00080
13 1317117.ATO7_00085
14 1317117.ATO7_00090
15 1317117.ATO7_00095
16 1317117.ATO7_00115
17 1317117.ATO7_00125
18 1317117.ATO7_00140
19 1317117.ATO7_00145
20 1317117.ATO7_00150
21 1317117.ATO7_00155
22 1317117.ATO7_00165
23 1317117.ATO7_00180
24 1317117.ATO7_00195
25 1317117.ATO7_00255
26 1317117.ATO7_00260
27 1317117.ATO7_00270
28 1317117.ATO7_00275
29 1317117.ATO7_00280
30 1317117.ATO7_00290
31 1317117.ATO7_00320
32 1317117.ATO7_00330
33 1317117.ATO7_00335
34 1317117.ATO7_00345
35 1317117.ATO7_00350
36 1317117.ATO7_00355
37 1317117.ATO7_00360
38 1317117.ATO7_00365
39 1317117.ATO7_00370
40 1317117.ATO7_00375
41 1317117.ATO7_00380
42 1317117.ATO7_00385
43 1317117.ATO7_00395
44 1317117.ATO7_00415
45 1317117.ATO7_00420
46 1317117.ATO7_00425
47 1317117.ATO7_00430
48 1317117.ATO7_00435
49 1317117.ATO7_00450
50 1317117.ATO7_00460
51 1317117.ATO7_00465
52 1317117.ATO7_00470
53 1317117.ATO7_00485
54 1317117.ATO7_00495
55 1317117.ATO7_00500
56 1317117.ATO7_00505
57 1317117.ATO7_00510
58 1317117.ATO7_00515
59 1317117.ATO7_00525
60 1317117.ATO7_00540
61 1317117.ATO7_00545
62 1317117.ATO7_00550
63 1317117.ATO7_00555
64 1317117.ATO7_00560
65 1317117.ATO7_00565
66 1317117.ATO7_00570
67 1317117.ATO7_00575
68 1317117.ATO7_00580
69 1317117.ATO7_00585
70 1317117.ATO7_00590
71 1317117.ATO7_00595
72 1317117.ATO7_00600
73 1317117.ATO7_00605
74 1317117.ATO7_00610
75 1317117.ATO7_00615
76 1317117.ATO7_00625
77 1317117.ATO7_00645
78 1317117.ATO7_00660
79 1317117.ATO7_00665
80 1317117.ATO7_00670
81 1317117.ATO7_00675
82 1317117.ATO7_00680
83 1317117.ATO7_00690
84 1317117.ATO7_00695
85 1317117.ATO7_00700
86 1317117.ATO7_00705
87 1317117.ATO7_00710
88 1317117.ATO7_00725
89 1317117.ATO7_00730
90 1317117.ATO7_00740
91 1317117.ATO7_00745
92 1317117.ATO7_00750
93 1317117.ATO7_00755
94 1317117.ATO7_00760
95 1317117.ATO7_00765
96 1317117.ATO7_00785
97 1317117.ATO7_00790
98 1317117.ATO7_00795
99 1317117.ATO7_00805
100 1317117.ATO7_00810
101 1317117.ATO7_00815
102 1317117.ATO7_00820
103 1317117.ATO7_00825
104 1317117.ATO7_00830
105 1317117.ATO7_00840
106 1317117.ATO7_00845
