index STRING_id
0 129961.GCA_001890765_00002
1 129961.GCA_001890765_00003
2 129961.GCA_001890765_00004
3 129961.GCA_001890765_00006
4 129961.GCA_001890765_00007
5 129961.GCA_001890765_00008
6 129961.GCA_001890765_00010
7 129961.GCA_001890765_00011
8 129961.GCA_001890765_00015
9 129961.GCA_001890765_00018
10 129961.GCA_001890765_00021
11 129961.GCA_001890765_00022
12 129961.GCA_001890765_00029
13 129961.GCA_001890765_00034
14 129961.GCA_001890765_00035
15 129961.GCA_001890765_00039
16 129961.GCA_001890765_00040
17 129961.GCA_001890765_00042
18 129961.GCA_001890765_00043
19 129961.GCA_001890765_00044
20 129961.GCA_001890765_00046
21 129961.GCA_001890765_00047
22 129961.GCA_001890765_00048
23 129961.GCA_001890765_00052
24 129961.GCA_001890765_00054
25 129961.GCA_001890765_00055
26 129961.GCA_001890765_00056
27 129961.GCA_001890765_00063
28 129961.GCA_001890765_00065
29 129961.GCA_001890765_00067
30 129961.GCA_001890765_00068
31 129961.GCA_001890765_00071
32 129961.GCA_001890765_00072
33 129961.GCA_001890765_00074
34 129961.GCA_001890765_00076
35 129961.GCA_001890765_00077
36 129961.GCA_001890765_00079
37 129961.GCA_001890765_00080
38 129961.GCA_001890765_00083
39 129961.GCA_001890765_00084
40 129961.GCA_001890765_00087
41 129961.GCA_001890765_00089
42 129961.GCA_001890765_00090
43 129961.GCA_001890765_00091
44 129961.GCA_001890765_00092
45 129961.GCA_001890765_00098
46 129961.GCA_001890765_00102
47 129961.GCA_001890765_00103
48 129961.GCA_001890765_00104
49 129961.GCA_001890765_00105
50 129961.GCA_001890765_00107
51 129961.GCA_001890765_00109
52 129961.GCA_001890765_00110
53 129961.GCA_001890765_00111
54 129961.GCA_001890765_00112
55 129961.GCA_001890765_00113
56 129961.GCA_001890765_00114
57 129961.GCA_001890765_00115
58 129961.GCA_001890765_00116
59 129961.GCA_001890765_00117
60 129961.GCA_001890765_00123
61 129961.GCA_001890765_00124
62 129961.GCA_001890765_00125
63 129961.GCA_001890765_00126
64 129961.GCA_001890765_00127
65 129961.GCA_001890765_00130
66 129961.GCA_001890765_00131
67 129961.GCA_001890765_00132
68 129961.GCA_001890765_00133
69 129961.GCA_001890765_00137
70 129961.GCA_001890765_00139
71 129961.GCA_001890765_00141
72 129961.GCA_001890765_00142
73 129961.GCA_001890765_00143
74 129961.GCA_001890765_00144
75 129961.GCA_001890765_00150
76 129961.GCA_001890765_00151
77 129961.GCA_001890765_00155
78 129961.GCA_001890765_00156
79 129961.GCA_001890765_00157
